timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716099667538,69,HTTP Request,200,,Thread Group 3 3-1,text,true,,5685,385,1,2,http://localhost:8080/api/v1/categories/all,69,0,1
1716099667608,8,HTTP Request,200,,Thread Group 3 3-1,text,true,,5735,385,1,2,http://localhost:8080/api/v1/categories/all,8,0,0
1716099667616,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,5735,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099667625,14,HTTP Request,200,,Thread Group 3 3-1,text,true,,5735,385,1,2,http://localhost:8080/api/v1/categories/all,14,0,0
1716099667639,10,HTTP Request,200,,Thread Group 3 3-1,text,true,,5785,385,1,2,http://localhost:8080/api/v1/categories/all,10,0,0
1716099667649,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,5785,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099667658,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,5835,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099667667,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,5885,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099667677,34,HTTP Request,200,,Thread Group 3 3-1,text,true,,5885,385,1,2,http://localhost:8080/api/v1/categories/all,34,0,0
1716099667711,12,HTTP Request,200,,Thread Group 3 3-1,text,true,,5935,385,1,2,http://localhost:8080/api/v1/categories/all,11,0,0
1716099668551,12,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,1
1716099668563,9,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099668572,21,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,21,0,0
1716099668593,9,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099668602,8,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099668611,9,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099668620,8,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099668628,9,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099668637,8,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099668645,10,HTTP Request,200,,Thread Group 3 3-2,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099669539,12,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,0
1716099669551,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099669560,11,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099669571,20,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,20,0,0
1716099669591,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099669601,11,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099669612,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099669622,9,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099669631,8,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099669639,10,HTTP Request,200,,Thread Group 3 3-3,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099670539,14,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,14,0,0
1716099670553,8,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099670561,9,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099670569,12,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,0
1716099670581,11,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099670592,10,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099670602,12,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,0
1716099670614,18,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,18,0,0
1716099670632,32,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,31,0,0
1716099670664,37,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,37,0,0
1716099671536,14,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,13,0,1
1716099671550,10,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099671560,9,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099671569,8,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
