timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716099667538,19,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,3,http://localhost:8080/api/v1/categories,19,0,1
1716099667558,26,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,26,0,0
1716099667584,13,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,13,0,0
1716099667598,25,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,25,0,0
1716099667624,20,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,20,0,0
1716099667644,16,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,16,0,0
1716099667661,16,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,16,0,0
1716099667677,38,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,37,0,0
1716099667715,28,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,28,0,0
1716099667743,22,HTTP Request,200,,Thread Group 2 2-1,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,22,0,0
1716099673537,17,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,17,0,1
1716099673555,12,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,12,0,0
1716099673567,14,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,14,0,0
1716099673581,14,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,14,0,0
1716099673595,15,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,15,0,0
1716099673610,14,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,2,http://localhost:8080/api/v1/categories,14,0,0
1716099673624,14,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099673639,14,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099673653,24,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,24,0,0
1716099673677,13,HTTP Request,200,,Thread Group 2 2-2,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,13,0,0
1716099679537,17,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,17,0,1
1716099679555,14,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099679569,15,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,15,0,0
1716099679584,14,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099679598,15,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,15,0,0
1716099679613,20,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,20,0,0
1716099679633,14,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099679647,13,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,13,0,0
1716099679660,13,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,13,0,0
1716099679673,14,HTTP Request,200,,Thread Group 2 2-3,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,14,0,0
1716099685538,24,HTTP Request,200,,Thread Group 2 2-4,text,true,,481,474,1,1,http://localhost:8080/api/v1/categories,24,0,1
